,country,region_1,variety,points_median,location,address,point,latitude,longitude,altitude
553,Italy,Chianti Colli Aretini,Sangiovese,89.0,"Chianti Colli Aretini, Italy",,,,,
554,Italy,Chianti Colli Fiorentini,Sangiovese,89.0,"Chianti Colli Fiorentini, Italy",,,,,
555,Italy,Chianti Colli Pisani,Sangiovese,87.0,"Chianti Colli Pisani, Italy",,,,,
556,Italy,Chianti Colli Senesi,Sangiovese,87.0,"Chianti Colli Senesi, Italy",,,,,
557,Italy,Chianti Montalbano,Sangiovese,88.0,"Chianti Montalbano, Italy",,,,,
558,Italy,Chianti Montespertoli,Red Blend,87.0,"Chianti Montespertoli, Italy",,,,,
559,Italy,Chianti Rufina,Sangiovese,88.0,"Chianti Rufina, Italy",,,,,
560,Italy,Chianti Superiore,Sangiovese,87.0,"Chianti Superiore, Italy",,,,,
561,Italy,Cilento,Fiano,87.5,"Cilento, Italy","Castelnuovo Cilento, Salerno, Campania, Italia","(40.2195354, 15.1771512, 0.0)",40.2195354,15.1771512,0.0
562,Italy,Circeo,White Blend,84.0,"Circeo, Italy","San Felice Circeo, Latina, 04017, Italia","(41.2326171, 13.0893977, 0.0)",41.2326171,13.0893977,0.0
563,Italy,Cirò,Rosato,87.0,"Cirò, Italy","Cirò, Crotone, Calabria, Italia","(39.381732, 17.0613529, 0.0)",39.381732,17.0613529,0.0
564,Italy,Cirò Classico,Gaglioppo,86.0,"Cirò Classico, Italy",,,,,
565,Italy,Civitella d'Agliano,Grechetto,88.0,"Civitella d'Agliano, Italy","Civitella d'Agliano, Viterbo, Lazio, Italia","(42.6053622, 12.1876584, 0.0)",42.6053622,12.1876584,0.0
566,Italy,Coda di Volpe d'Irpinia,Coda di Volpe,85.0,"Coda di Volpe d'Irpinia, Italy",,,,,
567,Italy,Colli Aprutini,Rosato,87.0,"Colli Aprutini, Italy",,,,,
568,Italy,Colli Bolognesi,Pignoletto,86.0,"Colli Bolognesi, Italy",,,,,
569,Italy,Colli Etruria Centrale,White Blend,89.5,"Colli Etruria Centrale, Italy",,,,,
570,Italy,Colli Euganei,Moscato Giallo,88.0,"Colli Euganei, Italy","Monticello (Colli Euganei), Chiodare, Due Carrare, Padova, Veneto, Italia","(45.30235545, 11.805076047734627, 0.0)",45.30235545,11.805076047734627,0.0
571,Italy,Colli Martani,Grechetto,86.5,"Colli Martani, Italy",,,,,
572,Italy,Colli Orientali del Friuli,White Blend,92.0,"Colli Orientali del Friuli, Italy",,,,,
573,Italy,Colli Perugini,Rosé,91.0,"Colli Perugini, Italy",,,,,
574,Italy,Colli Piacentini,Sauvignon Blanc,87.0,"Colli Piacentini, Italy",,,,,
575,Italy,Colli Tortonesi,Timorasso,92.0,"Colli Tortonesi, Italy",,,,,
576,Italy,Colli Trevigiani,Glera,90.5,"Colli Trevigiani, Italy",,,,,
577,Italy,Colli del Limbara,Red Blend,87.0,"Colli del Limbara, Italy",,,,,
578,Italy,Colli della Toscana Centrale,Syrah,91.0,"Colli della Toscana Centrale, Italy",,,,,
579,Italy,Colli di Conegliano,White Blend,87.0,"Colli di Conegliano, Italy","Via dei Colli, Moro, Costa, Conegliano, Treviso, Veneto, 31015, Italia","(45.8870343, 12.2906527, 0.0)",45.8870343,12.2906527,0.0
580,Italy,Colli di Faenza,Sangiovese,86.5,"Colli di Faenza, Italy",,,,,
581,Italy,Colli di Luni,Vermentino,86.5,"Colli di Luni, Italy",,,,,
582,Italy,Colli di Salerno,White Blend,92.5,"Colli di Salerno, Italy","Colli lo Scorzo, Sanza, Salerno, Campania, Italia","(40.2837271, 15.5381541, 0.0)",40.2837271,15.5381541,0.0
583,Italy,Colline Lucchesi,Red Blend,93.0,"Colline Lucchesi, Italy",,,,,
584,Italy,Colline Novaresi,Vespolina,88.0,"Colline Novaresi, Italy",,,,,
585,Italy,Colline Pescaresi,White Blend,88.0,"Colline Pescaresi, Italy",,,,,
586,Italy,Colline Teatine,Rosé,92.0,"Colline Teatine, Italy",,,,,
587,Italy,Colline Teramane,Montepulciano,91.0,"Colline Teramane, Italy",,,,,
588,Italy,Collio,White Blend,91.0,"Collio, Italy","Collio, Comunità montana della valle Trompia, Brescia, Lombardia, Italia","(45.8093124, 10.3328723, 0.0)",45.8093124,10.3328723,0.0
589,Italy,Conegliano Valdobbiadene Prosecco Superiore,Sparkling Blend,87.5,"Conegliano Valdobbiadene Prosecco Superiore, Italy",,,,,
590,Italy,Conero,Red Blend,90.0,"Conero, Italy","Direttissima del Conero, Camerano, Ancona, Marche, 60021, Italia","(43.5165869, 13.5431971, 0.0)",43.5165869,13.5431971,0.0
591,Italy,Contea di Sclafani,White Blend,92.0,"Contea di Sclafani, Italy",,,,,
592,Italy,Contessa Entellina,White Blend,92.0,"Contessa Entellina, Italy","Contessa Entellina, Palermo, Sicilia, 90030, Italia","(37.7309803, 13.1831444, 0.0)",37.7309803,13.1831444,0.0
593,Italy,Controguerra,White Blend,89.0,"Controguerra, Italy","Controguerra, Teramo, Abruzzo, Italia","(42.8557157, 13.8193355, 0.0)",42.8557157,13.8193355,0.0
594,Italy,Copertino,Rosato,88.0,"Copertino, Italy","Copertino, Lecce, Puglia, Italia","(40.2716808, 18.0502517, 0.0)",40.2716808,18.0502517,0.0
